,transaction_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,full_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,postcode,state,country,property_valuation
16,17,2426,2017-04-03,0.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,38206.0,Yancy Ovett,U,64.0,,,IT,Affluent Customer,N,Yes,,2145.0,NSW,Australia,10.0
59,60,3473,2017-12-18,0.0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,41848.0,Sanderson Alloway,U,34.0,,Analog Circuit Design manager,IT,Mass Customer,N,No,,3803.0,VIC,Australia,7.0
63,64,2000,2017-07-08,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,39031.0,Kain Rene,U,68.0,,Assistant Professor,IT,High Net Worth,N,Yes,,2147.0,NSW,Australia,8.0
93,94,1,2017-12-23,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38482.0,Laraine Medendorp,F,93.0,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,2016.0,NSW,Australia,10.0
121,122,1038,2017-12-01,1.0,Approved,Solex,Road,medium,large,1777.8,820.78,34115.0,Fraser Acome,U,57.0,,Engineer I,Manufacturing,Mass Customer,N,Yes,,3809.0,VIC,Australia,6.0
171,174,3151,2017-12-17,0.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,34586.0,Thorn Choffin,U,20.0,,Senior Developer,IT,Affluent Customer,N,Yes,,4055.0,QLD,Australia,8.0
188,191,1477,2017-06-30,1.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,39526.0,Leo Balharry,U,42.0,,Actuary,Financial Services,Mass Customer,N,Yes,,2440.0,NSW,Australia,3.0
212,215,2999,2017-09-30,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,42226.0,Rinaldo Diggin,U,28.0,,Business Systems Development Analyst,IT,Affluent Customer,N,Yes,,3023.0,VIC,Australia,8.0
258,261,599,2017-05-09,0.0,Approved,Solex,Standard,high,medium,1024.66,614.8,39880.0,Ernestus Cruden,U,48.0,,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,,3068.0,VIC,Australia,8.0
299,302,2426,2017-03-17,1.0,Approved,OHM Cycles,Road,medium,small,1810.0,1610.9,36498.0,Yancy Ovett,U,64.0,,,IT,Affluent Customer,N,Yes,,2145.0,NSW,Australia,10.0
331,334,2252,2017-02-21,0.0,Approved,Norco Bicycles,Road,high,large,774.53,464.72,36361.0,Darcey Annis,U,31.0,,Teacher,IT,High Net Worth,N,Yes,,3183.0,VIC,Australia,7.0
359,362,2920,2017-09-22,1.0,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,41701.0,Casar Ritchley,U,0.0,,Business Systems Development Analyst,IT,Mass Customer,N,Yes,,2299.0,NSW,Australia,8.0
376,380,1683,2017-08-20,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167.0,Brenn Bacon,U,72.0,,Budget/Accounting Analyst I,IT,Mass Customer,N,Yes,,2028.0,NSW,Australia,12.0
382,386,892,2017-10-01,0.0,Approved,Solex,Standard,medium,medium,1163.89,589.27,38693.0,Conroy Healy,U,22.0,,Office Assistant II,IT,Mass Customer,N,Yes,,3765.0,VIC,Australia,8.0
452,457,290,2017-10-10,0.0,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,33364.0,Giorgio Kevane,U,42.0,,Senior Sales Associate,IT,Mass Customer,N,No,,2766.0,NSW,Australia,9.0
489,494,1509,2017-11-16,1.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,42172.0,Sibley Janek,U,10.0,,Computer Systems Analyst I,IT,High Net Worth,N,Yes,,2227.0,NSW,Australia,10.0
629,634,2069,2017-04-29,0.0,Approved,Solex,Touring,medium,large,2083.94,675.03,38482.0,Sol Holdron,U,32.0,,Software Test Engineer IV,IT,Mass Customer,N,Yes,,4509.0,QLD,Australia,7.0
687,693,2999,2017-01-24,1.0,Approved,Solex,Road,medium,small,1703.52,1516.13,33549.0,Rinaldo Diggin,U,28.0,,Business Systems Development Analyst,IT,Affluent Customer,N,Yes,,3023.0,VIC,Australia,8.0
740,746,1210,2017-05-31,1.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002.0,Shandie Sprigg,U,81.0,,Programmer II,IT,Mass Customer,N,No,,2230.0,NSW,Australia,9.0
759,765,57,2017-05-13,0.0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,38193.0,Abba Masedon,M,87.0,1988-06-13,Chief Design Engineer,,Mass Customer,N,Yes,13.0,4280.0,QLD,Australia,6.0
764,770,2414,2017-09-10,,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38258.0,Basile Bowlas,U,18.0,,Registered Nurse,Health,Mass Customer,N,Yes,,3802.0,VIC,Australia,7.0
809,816,892,2017-09-08,1.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,37874.0,Conroy Healy,U,22.0,,Office Assistant II,IT,Mass Customer,N,Yes,,3765.0,VIC,Australia,8.0
818,825,513,2017-01-03,1.0,Approved,Solex,Standard,high,medium,748.17,448.9,33552.0,Kienan Soar,U,30.0,,Tax Accountant,IT,Mass Customer,N,No,,3126.0,VIC,Australia,12.0
828,835,1477,2017-11-17,0.0,Approved,Solex,Standard,medium,medium,575.27,431.45,34165.0,Leo Balharry,U,42.0,,Actuary,Financial Services,Mass Customer,N,Yes,,2440.0,NSW,Australia,3.0
844,851,3086,2017-12-12,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710.0,Pieter Gadesby,U,18.0,,Biostatistician I,IT,High Net Worth,N,No,,4116.0,QLD,Australia,7.0
869,876,2341,2017-07-02,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,41848.0,Caterina Scedall,U,41.0,,Web Designer II,IT,Mass Customer,N,Yes,,3806.0,VIC,Australia,9.0
870,877,1082,2017-11-13,1.0,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,38693.0,Guinevere Kelby,U,90.0,,Financial Analyst,Financial Services,Mass Customer,N,Yes,,4152.0,QLD,Australia,9.0
944,951,451,2017-04-17,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586.0,Marlow Flowerdew,U,37.0,,Quality Control Specialist,IT,High Net Worth,N,No,,3192.0,VIC,Australia,10.0
1030,1038,2426,2017-08-31,1.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36833.0,Yancy Ovett,U,64.0,,,IT,Affluent Customer,N,Yes,,2145.0,NSW,Australia,10.0
1031,1039,34,2017-07-01,1.0,Approved,Solex,Road,medium,small,1703.52,1516.13,40649.0,Jephthah Bachmann,U,59.0,1843-12-21,Legal Assistant,IT,Affluent Customer,N,No,20.0,4005.0,QLD,Australia,8.0
1099,1107,34,2017-08-22,0.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,38693.0,Jephthah Bachmann,U,59.0,1843-12-21,Legal Assistant,IT,Affluent Customer,N,No,20.0,4005.0,QLD,Australia,8.0
1112,1120,983,2017-05-23,0.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361.0,Shaylyn Riggs,U,49.0,,,IT,Affluent Customer,N,No,,2027.0,NSW,Australia,11.0
1119,1127,3365,2017-08-15,1.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,34115.0,Karlens Chaffyn,U,29.0,,Engineer III,IT,Mass Customer,N,No,,2766.0,NSW,Australia,9.0
